n,uk_A,uk_B,uk_C,uk_D,uk_E,uk_F,be_A,no_A
1,"contact1","contact1","contact1","contact1","completedwaves","completedwaves","be01edu_me","contact1"
2,"contact10","contact10","contact10","contact10","contact900","contact900","be01edu_me_i","contact10"
3,"contact100","contact100","contact100","contact100","contact901","contact901","be02edu","contact100"
4,"contact11","contact11","contact11","contact11","contact902","contact902","be02edu_i","contact11"
5,"contact12","contact12","contact12","contact12","contact903","contact903","be02occhi","contact12"
6,"contact13","contact13","contact13","contact13","contact904","contact904","be02occhi_i","contact13"
7,"contact14","contact14","contact14","contact14","contact905","contact905","be02occhi_last","contact14"
8,"contact15","contact15","contact15","contact15","contact906","contact906","be02occhi_last_i","contact15"
9,"contact16","contact16","contact16","contact16","contact907","contact907","be02occr","contact16"
10,"contact17","contact17","contact17","contact17","contact908","contact908","be02occr_i","contact17"
11,"contact18","contact18","contact18","contact18","contact909","contact909","be02occr_last","contact18"
12,"contact19","contact19","contact19","contact19","contact910","contact910","be02occr_last_i","contact19"
13,"contact2","contact2","contact2","contact2","contact911","contact911","be02sg","contact2"
14,"contact20","contact20","contact20","contact20","contact912","contact912","be02sg_i","contact20"
15,"contact21","contact21","contact21","contact21","contact913","contact913","bestdregion_i","contact21"
16,"contact22","contact22","contact22","contact22","contact914","contact914","contact1","contact22"
17,"contact23","contact23","contact23","contact23","contact915","contact915","contact10","contact23"
18,"contact24","contact24","contact24","contact24","contact916","contact916","contact100","contact24"
19,"contact25","contact25","contact25","contact25","contact917","contact917","contact11","contact25"
20,"contact26","contact26","contact26","contact26","contact918","contact918","contact12","contact26"
21,"contact27","contact27","contact27","contact27","contact919","contact919","contact13","contact27"
22,"contact28","contact28","contact28","contact28","contact920","contact920","contact14","contact28"
23,"contact29","contact29","contact29","contact29","contact921","contact921","contact15","contact29"
24,"contact3","contact3","contact3","contact3","contact922","contact922","contact16","contact3"
25,"contact30","contact30","contact30","contact30","contact923","contact923","contact17","contact30"
26,"contact31","contact31","contact31","contact31","contact924","contact924","contact18","contact31"
27,"contact32","contact32","contact32","contact32","contact925","contact925","contact19","contact32"
28,"contact33","contact33","contact33","contact33","contact926","contact926","contact2","contact33"
29,"contact34","contact34","contact34","contact34","contact927","contact927","contact20","contact34"
30,"contact35","contact35","contact35","contact35","contact928","contact928","contact21","contact35"
31,"contact36","contact36","contact36","contact36","contact929","contact929","contact22","contact36"
32,"contact37","contact37","contact37","contact37","contact930","contact930","contact23","contact37"
33,"contact38","contact38","contact38","contact38","contact931","contact931","contact24","contact38"
34,"contact39","contact39","contact39","contact39","contact932","contact932","contact25","contact39"
35,"contact4","contact4","contact4","contact4","contact933","contact933","contact26","contact4"
36,"contact40","contact40","contact40","contact40","contact934","contact934","contact27","contact40"
37,"contact41","contact41","contact41","contact41","contact935","contact935","contact28","contact41"
38,"contact42","contact42","contact42","contact42","contact936","contact936","contact29","contact42"
39,"contact43","contact43","contact43","contact43","contact937","contact937","contact3","contact43"
40,"contact44","contact44","contact44","contact44","contact938","contact938","contact30","contact44"
41,"contact45","contact45","contact45","contact45","contact939","contact939","contact31","contact45"
42,"contact46","contact46","contact46","contact46","contact940","contact940","contact32","contact46"
43,"contact47","contact47","contact47","contact47","contact941","contact941","contact33","contact47"
44,"contact48","contact48","contact48","contact48","contact942","contact942","contact34","contact48"
45,"contact49","contact49","contact49","contact49","contact943","contact943","contact35","contact49"
46,"contact5","contact5","contact5","contact5","contact944","contact944","contact36","contact5"
47,"contact50","contact50","contact50","contact50","contact945","contact945","contact37","contact50"
48,"contact51","contact51","contact51","contact51","contact946","contact946","contact38","contact51"
49,"contact52","contact52","contact52","contact52","contact947","contact947","contact39","contact52"
50,"contact53","contact53","contact53","contact53","contact948","contact948","contact4","contact53"
51,"contact54","contact54","contact54","contact54","contact949","contact949","contact40","contact54"
52,"contact55","contact55","contact55","contact55","contact950","contact950","contact41","contact55"
53,"contact56","contact56","contact56","contact56","contact951","contact951","contact42","contact56"
54,"contact57","contact57","contact57","contact57","contact952","contact952","contact43","contact57"
55,"contact58","contact58","contact58","contact58","contact953","contact953","contact44","contact58"
56,"contact59","contact59","contact59","contact59","contact954","contact954","contact45","contact59"
57,"contact6","contact6","contact6","contact6","contact955","contact955","contact46","contact6"
58,"contact60","contact60","contact60","contact60","contact956","contact956","contact47","contact60"
59,"contact61","contact61","contact61","contact61","contact957","contact957","contact48","contact61"
60,"contact62","contact62","contact62","contact62","contact958","contact958","contact49","contact62"
61,"contact63","contact63","contact63","contact63","contact959","contact959","contact5","contact63"
62,"contact64","contact64","contact64","contact64","contact960","contact960","contact50","contact64"
63,"contact65","contact65","contact65","contact65","contact961","contact961","contact51","contact65"
64,"contact66","contact66","contact66","contact66","contact962","contact962","contact52","contact66"
65,"contact67","contact67","contact67","contact67","contact963","contact963","contact53","contact67"
66,"contact68","contact68","contact68","contact68","contact964","contact964","contact54","contact68"
67,"contact69","contact69","contact69","contact69","contact965","contact965","contact55","contact69"
68,"contact7","contact7","contact7","contact7","contact966","contact966","contact56","contact7"
69,"contact70","contact70","contact70","contact70","contact967","contact967","contact57","contact70"
70,"contact71","contact71","contact71","contact71","contact968","contact968","contact58","contact71"
71,"contact72","contact72","contact72","contact72","contact969","contact969","contact59","contact72"
72,"contact73","contact73","contact73","contact73","contact970","contact970","contact6","contact73"
73,"contact74","contact74","contact74","contact74","contact971","contact971","contact60","contact74"
74,"contact75","contact75","contact75","contact75","contact972","contact972","contact61","contact75"
75,"contact76","contact76","contact76","contact76","contact973","contact973","contact62","contact76"
76,"contact77","contact77","contact77","contact77","contact974","contact974","contact63","contact77"
77,"contact78","contact78","contact78","contact78","contact975","contact975","contact64","contact78"
78,"contact79","contact79","contact79","contact79","contact976","contact976","contact65","contact79"
79,"contact8","contact8","contact8","contact8","contact977","contact977","contact66","contact8"
80,"contact80","contact80","contact80","contact80","contact978","contact978","contact67","contact80"
81,"contact81","contact81","contact81","contact81","contact979","contact979","contact68","contact81"
82,"contact82","contact82","contact82","contact82","contact980","contact980","contact69","contact82"
83,"contact83","contact83","contact83","contact83","contact981","contact981","contact7","contact83"
84,"contact84","contact84","contact84","contact84","contact982","contact982","contact70","contact84"
85,"contact85","contact85","contact85","contact85","contact983","contact983","contact71","contact85"
86,"contact86","contact86","contact86","contact86","contact984","contact984","contact72","contact86"
87,"contact87","contact87","contact87","contact87","contact985","contact985","contact73","contact87"
88,"contact88","contact88","contact88","contact88","contact986","contact986","contact74","contact88"
89,"contact89","contact89","contact89","contact89","contact987","contact987","contact75","contact89"
90,"contact9","contact9","contact9","contact9","contact988","contact988","contact76","contact9"
91,"contact90","contact90","contact90","contact90","contact989","contact989","contact77","contact90"
92,"contact91","contact91","contact91","contact91","contact990","contact990","contact78","contact91"
93,"contact92","contact92","contact92","contact92","contact991","contact991","contact79","contact92"
94,"contact93","contact93","contact93","contact93","contact992","contact992","contact8","contact93"
95,"contact94","contact94","contact94","contact94","contact993","contact993","contact80","contact94"
96,"contact95","contact95","contact95","contact95","contact994","contact994","contact81","contact95"
97,"contact96","contact96","contact96","contact96","contact995","contact995","contact82","contact96"
98,"contact97","contact97","contact97","contact97","contact996","contact996","contact83","contact97"
99,"contact98","contact98","contact98","contact98","contact997","contact997","contact84","contact98"
100,"contact99","contact99","contact99","contact99","contact998","contact998","contact85","contact99"
101,"cultureinfo","cultureinfo","cultureinfo","cultureinfo","contact999","contact999","contact86","cultureinfo"
102,"currentday","currentday","currentday","currentday","currentday","currentday","contact87","currentday"
103,"currentmonth","currentmonth","currentmonth","currentmonth","currentmonth","currentmonth","contact88","currentmonth"
104,"currentyear","currentyear","currentyear","currentyear","currentyear","currentyear","contact89","currentyear"
105,"data_acum","data_acum","data_acum","data_acum","dkids02_1_dkids02_gender","dummy_variable","contact9","data_acum"
106,"eu01hinc","eu01hinc","emp01","eu01hinc","dkids02_1_dkids02_rel","eu01hinc","contact90","emp01"
107,"eu01hinc_i","eu01hinc_i","eu01hinc","eu01hinc_i","dkids02_2_dkids02_gender","eu01hinc_i","contact91","eu01hinc"
108,"gender_nonbinary","gender_nonbinary","eu01hinc_i","gender_nonbinary","dkids02_2_dkids02_rel","gender_nonbinary","contact92","eu01hinc_i"
109,"main_intro_screen","main_intro_screen","gender_nonbinary","hhcompadd_150_scale","dkids02_3_dkids02_gender","hhcmp10","contact93","gender_nonbinary"
110,"panel","panel","hhcmp10","hhcompadd_151_scale","dkids02_3_dkids02_rel","hhcompadd_102_scale","contact94","hhcmp10"
111,"privacypolicy_insert","privacypolicy_insert","hhcompadd_150_scale","hhcompadd_152_scale","dkids02_4_dkids02_gender","hhcompadd_103_scale","contact95","ical_standardoccupation"
112,"q15","q15","hhcompadd_151_scale","hhcompadd_153_scale","dkids02_4_dkids02_rel","hhcompadd_104_scale","contact96","main_intro_screen"
113,"q20","q20","hhcompadd_152_scale","hhcompadd_154_scale","dkids02_5_dkids02_gender","hhcompadd_105_scale","contact97","no01inc"
114,"q20a","q20a","hhcompadd_153_scale","hhcompadd_155_scale","dkids02_5_dkids02_rel","hhcompadd_112_scale","contact98","no01inc_i"
115,"q21_10_scale","q21_10_scale","hhcompadd_154_scale","hhcompadd_156_scale","dkids02_6_dkids02_gender","hhcompadd_113_scale","contact99","no01occr"
116,"q21_11_scale","q21_11_scale","hhcompadd_155_scale","hhcompadd_157_scale","dkids02_6_dkids02_rel","hhcompadd_114_scale","cultureinfo","no01occr_i"
