var,ipsos_varname,type,tablename,new_name,changed
be01edu_me,be01edu_me,single_variable,,higher_earner_education,
be01inc,be01inc,single_variable,,part_income,
be02edu,be02edu,single_variable,,part_education,
be02occhi,be02occhi,single_variable,,higher_earner_occupation,
be02occhi_last,be02occhi_last,single_variable,,higher_earner_occupation_prev,
be02occr,be02occr,single_variable,,part_occupation,
be02occr_last,be02occr_last,single_variable,,part_occupation_prev,
be02sg,be02sg,single_variable,,part_social_group1,
be02sg_score,be02sg_score,single_variable,,part_social_group2,
country,,,,country,
contact_name_flag,contacts1:100,table_variable,,cnt_nickname_flag,
cultureinfo,cultureinfo,single_variable,,cultureinfo,
currentday,currentday,single_variable,,day,
currentmonth,currentmonth,single_variable,,month,
currentyear,currentyear,single_variable,,year,
data_acum,data_acum,single_variable,,data_acum,
educat_no,educat_no,,,part_education_no,
emp01,emp01,single_variable,,part_employ_type,
eu01hinc,eu01hinc,single_variable,,highest_earner,
eu01hinc_i,,,,,
gender_nonbinary,gender_nonbinary,single_variable,,part_gender_nb,
hhcmp10,hhcmp10,single_variable,,hhcmp10,
hhcomp_add,hhcomp_add,table_variable,,hhcomp_add,
hhcomp_remove,hhcomp_remove,table_variable,,hhcomp_remove,
hhcompconfirm_1,hhcompconfirm_1,,,hhcompconfirm_1,
hhcompconfirm_2,hhcompconfirm_2,,,hhcompconfirm_2,
hhcompconfirm_3,hhcompconfirm_3,,,hhcompconfirm_3,
hhcompconfrim_1,,,,,
hhcompconfrim_2,,,,,
hhcompconfrim_3,,,,,
hhcompremove_102,,,,,
hhcompremove_103,,,,,
hhcompremove_104,,,,,
hhcompremove_105,,,,,
hhcompremove_112,,,,,
hhcompremove_113,,,,,
hhcompremove_114,,,,,
hhcompremove_115,,,,,
hhcompremove_12,,,,,
hhcompremove_13,,,,,
hhcompremove_14,,,,,
hhcompremove_15,,,,,
hhcompremove_22,,,,,
hhcompremove_23,,,,,
hhcompremove_24,,,,,
hhcompremove_25,,,,,
hhcompremove_32,,,,,
hhcompremove_33,,,,,
hhcompremove_34,,,,,
hhcompremove_35,,,,,
hhcompremove_42,,,,,
hhcompremove_43,,,,,
hhcompremove_44,,,,,
hhcompremove_45,,,,,
